epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2506827414035797,0.009999999776482582,2.4333038330078125,0.4283824861049652,1.696799635887146
1,0.21568627655506134,0.009999999776482582,2.3894875049591064,0.4254359304904938,1.701284408569336
2,0.2944081127643585,0.009999999776482582,2.283534288406372,0.46978697180747986,1.5852367877960205
3,0.4117647111415863,0.009999999776482582,2.097846269607544,0.46993565559387207,1.584910273551941
4,0.3097020089626312,0.009999999776482582,2.2302677631378174,0.5047974586486816,1.5018702745437622
5,0.3333333432674408,0.009999999776482582,2.04206919670105,0.5042418241500854,1.5019021034240723
6,0.31735408306121826,0.009999999776482582,2.1994411945343018,0.5140166878700256,1.4549612998962402
7,0.3137255012989044,0.009999999776482582,2.285778760910034,0.5127684473991394,1.4566336870193481
8,0.3223861753940582,0.009999999776482582,2.176213264465332,0.5286399722099304,1.424765944480896
9,0.3137255012989044,0.009999999776482582,2.216902256011963,0.5286986827850342,1.4248582124710083
10,0.3259652256965637,0.009999999776482582,2.1613311767578125,0.5302443504333496,1.419286847114563
11,0.2549019753932953,0.009999999776482582,2.335352897644043,0.5297238826751709,1.4209651947021484
12,0.3273375928401947,0.009999999776482582,2.1533854007720947,0.53656005859375,1.3992128372192383
13,0.3333333432674408,0.009999999776482582,2.0573501586914062,0.5365052819252014,1.3995263576507568
14,0.3292210102081299,0.009999999776482582,2.1449623107910156,0.5338835120201111,1.400367259979248
15,0.3333333432674408,0.009999999776482582,2.0874221324920654,0.5341339707374573,1.3996644020080566
